sample_id,group,subject,age,time,eigengene,module,group_label
OP_S06_Pre,Old_Pre,OP_S06,Old,Pre,-0.08372257629591326,blue,O-Pre
OP_S11_Pre,Old_Pre,OP_S11,Old,Pre,-0.10929016072977826,blue,O-Pre
OP_S12_Pre,Old_Pre,OP_S12,Old,Pre,-0.0521263174719232,blue,O-Pre
OP_S17_Pre,Old_Pre,OP_S17,Old,Pre,-0.17960921248081962,blue,O-Pre
O_S05_Pre,Old_Pre,O_S05,Old,Pre,0.024265410877624558,blue,O-Pre
O_S06_Pre,Old_Pre,O_S06,Old,Pre,-0.18292954333766498,blue,O-Pre
O_S07_Pre,Old_Pre,O_S07,Old,Pre,0.049714430189706706,blue,O-Pre
O_S10_Pre,Old_Pre,O_S10,Old,Pre,-0.18795510685990724,blue,O-Pre
O_S16_Pre,Old_Pre,O_S16,Old,Pre,-0.11249273242915013,blue,O-Pre
O_S17_Pre,Old_Pre,O_S17,Old,Pre,-0.06665439659763076,blue,O-Pre
O_S24_Pre,Old_Pre,O_S24,Old,Pre,-0.12220242311656422,blue,O-Pre
O_S28_Pre,Old_Pre,O_S28,Old,Pre,-0.12482629932256219,blue,O-Pre
O_S29_Pre,Old_Pre,O_S29,Old,Pre,-0.1396621870378779,blue,O-Pre
O_S32_Pre,Old_Pre,O_S32,Old,Pre,-0.057663184276876285,blue,O-Pre
O_S35_Pre,Old_Pre,O_S35,Old,Pre,-0.12837055119221924,blue,O-Pre
OP_S06_Post,Old_Post,OP_S06,Old,Post,0.0026297176923298963,blue,O-Post
OP_S11_Post,Old_Post,OP_S11,Old,Post,-0.09640615554398432,blue,O-Post
OP_S12_Post,Old_Post,OP_S12,Old,Post,-0.041849981802516756,blue,O-Post
OP_S17_Post,Old_Post,OP_S17,Old,Post,-0.14267143240625743,blue,O-Post
O_S05_Post,Old_Post,O_S05,Old,Post,-0.05573719766416587,blue,O-Post
O_S06_Post,Old_Post,O_S06,Old,Post,0.16679847611668122,blue,O-Post
O_S07_Post,Old_Post,O_S07,Old,Post,-0.11875244948393728,blue,O-Post
O_S10_Post,Old_Post,O_S10,Old,Post,-0.04659926359277151,blue,O-Post
O_S16_Post,Old_Post,O_S16,Old,Post,-0.07104806020776328,blue,O-Post
O_S17_Post,Old_Post,O_S17,Old,Post,-0.060950204416765345,blue,O-Post
O_S24_Post,Old_Post,O_S24,Old,Post,-0.05345037264722708,blue,O-Post
O_S28_Post,Old_Post,O_S28,Old,Post,-0.11152039784004747,blue,O-Post
O_S29_Post,Old_Post,O_S29,Old,Post,-0.102881306280844,blue,O-Post
O_S32_Post,Old_Post,O_S32,Old,Post,-0.0537218927040982,blue,O-Post
O_S35_Post,Old_Post,O_S35,Old,Post,0.15352623742119662,blue,O-Post
YP_S14_Pre,Young_Pre,YP_S14,Young,Pre,-0.1436051552745888,blue,Y-Pre
YP_S45_Pre,Young_Pre,YP_S45,Young,Pre,-0.05753280914719667,blue,Y-Pre
YP_S56_Pre,Young_Pre,YP_S56,Young,Pre,-0.0039442150543667525,blue,Y-Pre
Y_S01_Pre,Young_Pre,Y_S01,Young,Pre,-0.008765535680126512,blue,Y-Pre
Y_S07_Pre,Young_Pre,Y_S07,Young,Pre,0.09055934481422567,blue,Y-Pre
Y_S10_Pre,Young_Pre,Y_S10,Young,Pre,0.0199947258910489,blue,Y-Pre
Y_S11_Pre,Young_Pre,Y_S11,Young,Pre,-0.05997655277805837,blue,Y-Pre
Y_S16_Pre,Young_Pre,Y_S16,Young,Pre,-0.011367254167780224,blue,Y-Pre
Y_S28_Pre,Young_Pre,Y_S28,Young,Pre,0.04698491406642364,blue,Y-Pre
Y_S30_Pre,Young_Pre,Y_S30,Young,Pre,0.13828895931938556,blue,Y-Pre
Y_S31_Pre,Young_Pre,Y_S31,Young,Pre,-0.06767320733080917,blue,Y-Pre
Y_S32_Pre,Young_Pre,Y_S32,Young,Pre,0.06979823613793258,blue,Y-Pre
Y_S34_Pre,Young_Pre,Y_S34,Young,Pre,0.007073202137957396,blue,Y-Pre
Y_S35_Pre,Young_Pre,Y_S35,Young,Pre,-0.07213682594940567,blue,Y-Pre
Y_S36_Pre,Young_Pre,Y_S36,Young,Pre,0.056008425669704126,blue,Y-Pre
Y_S40_Pre,Young_Pre,Y_S40,Young,Pre,-0.09382690728701584,blue,Y-Pre
YP_S14_Post,Young_Post,YP_S14,Young,Post,0.07154309983510382,blue,Y-Post
YP_S45_Post,Young_Post,YP_S45,Young,Post,0.020280132144678942,blue,Y-Post
YP_S56_Post,Young_Post,YP_S56,Young,Post,0.30846459031029677,blue,Y-Post
Y_S01_Post,Young_Post,Y_S01,Young,Post,0.07613660851232826,blue,Y-Post
Y_S05_Post,Young_Post,Y_S05,Young,Post,0.06709094315069894,blue,Y-Post
Y_S10_Post,Young_Post,Y_S10,Young,Post,0.23187473602493563,blue,Y-Post
Y_S11_Post,Young_Post,Y_S11,Young,Post,-0.12178809913211053,blue,Y-Post
Y_S16_Post,Young_Post,Y_S16,Young,Post,0.00286258826655633,blue,Y-Post
Y_S28_Post,Young_Post,Y_S28,Young,Post,0.007605530159922228,blue,Y-Post
Y_S30_Post,Young_Post,Y_S30,Young,Post,0.261090458907057,blue,Y-Post
Y_S31_Post,Young_Post,Y_S31,Young,Post,0.3056271609916854,blue,Y-Post
Y_S32_Post,Young_Post,Y_S32,Young,Post,0.26469393499788274,blue,Y-Post
Y_S34_Post,Young_Post,Y_S34,Young,Post,0.12469898915888623,blue,Y-Post
Y_S35_Post,Young_Post,Y_S35,Young,Post,0.1794359096114713,blue,Y-Post
Y_S36_Post,Young_Post,Y_S36,Young,Post,0.0852798863485371,blue,Y-Post
Y_S40_Post,Young_Post,Y_S40,Young,Post,0.3113833187864904,blue,Y-Post
OP_S06_Pre,Old_Pre,OP_S06,Old,Pre,0.11920089478562808,brown,O-Pre
OP_S11_Pre,Old_Pre,OP_S11,Old,Pre,-0.09562064056897457,brown,O-Pre
OP_S12_Pre,Old_Pre,OP_S12,Old,Pre,0.027839491326641208,brown,O-Pre
OP_S17_Pre,Old_Pre,OP_S17,Old,Pre,-0.16068340793877206,brown,O-Pre
O_S05_Pre,Old_Pre,O_S05,Old,Pre,0.015217930070491855,brown,O-Pre
O_S06_Pre,Old_Pre,O_S06,Old,Pre,-0.20710708444189913,brown,O-Pre
O_S07_Pre,Old_Pre,O_S07,Old,Pre,0.265657363126684,brown,O-Pre
O_S10_Pre,Old_Pre,O_S10,Old,Pre,0.043208902813056865,brown,O-Pre
O_S16_Pre,Old_Pre,O_S16,Old,Pre,-0.04811494009187796,brown,O-Pre
O_S17_Pre,Old_Pre,O_S17,Old,Pre,0.0744172140955197,brown,O-Pre
O_S24_Pre,Old_Pre,O_S24,Old,Pre,0.05211320922739144,brown,O-Pre
O_S28_Pre,Old_Pre,O_S28,Old,Pre,0.1322649771690476,brown,O-Pre
O_S29_Pre,Old_Pre,O_S29,Old,Pre,-0.12998780460926773,brown,O-Pre
