uniprot_id,protein,gene,description,OP_S06_Pre,OP_S11_Pre,OP_S12_Pre,OP_S17_Pre,O_S05_Pre,O_S06_Pre,O_S07_Pre,O_S10_Pre,O_S16_Pre,O_S17_Pre,O_S24_Pre,O_S28_Pre,O_S29_Pre,O_S32_Pre,O_S35_Pre,OP_S06_Post,OP_S11_Post,OP_S12_Post,OP_S17_Post,O_S05_Post,O_S06_Post,O_S07_Post,O_S10_Post,O_S16_Post,O_S17_Post,O_S24_Post,O_S28_Post,O_S29_Post,O_S32_Post,O_S35_Post,YP_S14_Pre,YP_S45_Pre,YP_S56_Pre,Y_S01_Pre,Y_S07_Pre,Y_S10_Pre,Y_S11_Pre,Y_S16_Pre,Y_S28_Pre,Y_S30_Pre,Y_S31_Pre,Y_S32_Pre,Y_S34_Pre,Y_S35_Pre,Y_S36_Pre,Y_S40_Pre,YP_S14_Post,YP_S45_Post,YP_S56_Post,Y_S01_Post,Y_S07_Post,Y_S10_Post,Y_S11_Post,Y_S16_Post,Y_S28_Post,Y_S30_Post,Y_S31_Post,Y_S32_Post,Y_S34_Post,Y_S35_Post,Y_S36_Post,Y_S40_Post
A0AVT1,UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6,20.080390941742056,20.823390365030193,19.91260160303451,21.27856330057855,21.62731177582655,21.357594199683945,21.260014280605866,20.77906349054526,20.598774916487734,20.6120340456886,20.5575794774576,20.57180577655879,20.256349105444382,20.275713202815258,19.932068771703612,20.607992318550615,20.40480827190629,19.78418481124964,21.994783612141955,20.836456314797804,21.182700729997443,20.84355273938572,21.040672588919623,20.22009732480609,20.52220607472057,20.020142369948665,20.76046470822704,20.810818906916897,19.94819614042433,20.26080036573737,20.955961232242736,20.737945233091065,20.913175468759153,20.76773618666214,19.620808189744025,18.706855930987004,18.9696163968203,19.79035388965763,20.041937809159215,18.656378111791852,20.61614695850444,20.45943740385044,20.034916064889515,19.415234135533343,19.542301202291757,19.53516405438525,20.59715793814855,20.535804476560337,21.120187955749223,20.31412819119922,19.96262332481947,20.14702982712755,20.590913604842797,20.50662406444771,19.902696083332113,20.155155878905788,20.65303028714833,20.417858360715147,19.965195615701106,20.367813507248492,20.47232377817263,19.139892940732494
A1L0T0,ILVBL_HUMAN,ILVBL,Acetolactate synthase-like protein,22.17466506224161,20.59126777700141,20.493979327952665,21.501164603258506,21.748469775494833,21.542341843876496,21.977411016419,21.62962259389827,20.424755069886963,20.42486659682423,21.02971288587224,21.070640282111295,20.84413434384283,20.496106081735924,20.473177478165937,21.570741448597392,20.74774754681532,20.609959706020856,22.31580187125512,21.052766308147874,21.58471149143427,21.34232911430917,21.393830915093417,20.154788026463336,20.30722411615715,20.526406434474453,21.745541433599485,21.428506435265376,20.848031179242035,21.26857832490894,21.891361874698912,22.079618109487697,21.454569666185694,21.58761320336426,19.98425089076238,20.062254736217763,19.930443199020218,20.90598104294025,21.20762809318619,20.26357287991241,21.134892735353873,21.690389025223123,21.11787223050155,20.78059598910101,21.22746374225431,20.284913833737267,20.800661231765027,21.177846741436426,21.162870265672165,20.92356410637179,20.653301347000987,20.82916282782116,21.425769248991077,21.09810392971901,21.00375915211641,20.72183700592442,21.334919062234583,21.648459686575936,21.50225104356377,20.530541000610587,21.14992176389235,19.79425200880113
A1L4K1,FSD2_HUMAN,FSD2,Fibronectin type III and SPRY domain-containing protein 2,20.909088633561375,20.51812449031939,19.79852609646115,21.18831829376636,21.2804148341619,21.209154757298645,20.98228078225535,20.40034496395645,20.38309801956299,20.096912000341604,20.017397608300374,20.651713361628584,20.19548485886515,19.769920597992662,19.65463474324433,21.008535254752974,20.43759042620369,19.90170575337017,21.70922554270059,20.33775159853106,20.969978822762325,20.715655555192196,20.36854670651863,19.57319078123814,20.189337861124315,19.1711911161776,21.161059295067677,20.6533033995769,20.0801359171752,20.730846009730417,20.938094527113712,18.98878508273097,20.69685637432617,20.26503908367988,19.41696536467852,18.884692023696793,20.000930997196473,19.48851038837013,20.479180278161145,18.609730661809373,19.92517334274748,20.300959454547176,20.322928126713524,18.970307834040064,18.953796367037143,19.410225106077224,20.610816736651564,20.519456932272508,21.26060933102544,20.51486381433775,20.31107425571054,20.196188648100343,19.79588537962577,20.16596778332931,20.062750966580825,19.015075799195554,20.44528233070304,20.5824236905487,20.634069240312904,19.7747530638064,20.40110513016099,19.12555008454472
A2RTX5,SYTC2_HUMAN,TARS3,"Threonine--tRNA ligase 2, cytoplasmic",24.77838902795869,24.094447662963265,24.958598533889713,25.625596200220432,25.646007450358,25.40120843101109,24.011548849709197,24.41323025089573,24.68587426486917,24.51844682638469,25.209106601196524,24.656109601047273,24.79842690011159,25.277479627381567,25.03835970529707,24.728111365534065,24.65543693489216,25.050140735854608,25.653619262200404,25.21397134342331,25.088669906353296,24.719963337380655,24.85987578734616,25.024725508445187,24.858224094391662,25.27901760695386,24.978464024877553,24.410659506689864,24.45493200085433,24.970308689952745,24.878101268429106,23.997123336270175,24.715739756080826,24.370765583045316,24.748659423566227,24.381215002681177,24.504443347122173,24.33151719713155,24.822022394771608,24.514045627527125,25.069735382425733,24.58363236433851,24.428111928093017,24.74618844312777,24.256924110969912,24.760176691808333,25.28765964912061,24.677474998970375,24.77687920973976,24.89708675493904,24.688146750250972,24.78121117836074,25.275383645560307,24.518849522384087,24.1547732097231,25.09372965272399,24.864757752859937,24.880443945443403,24.816455791429338,25.0106780405383,24.684391320154585,24.404560679504993
A7E2Y1,MYH7B_HUMAN,MYH7B,Myosin-7B,15.521877118905728,16.52020543482665,16.927761799751377,17.112588430651492,16.048514116151434,17.246290310810764,15.136810339271108,16.316785021471638,16.344257113503353,16.311630787217844,16.43421378554354,16.329813847154856,16.932116505321066,16.200174487542856,17.795997104900874,14.839299871750512,17.18628502768554,16.60024514225972,17.206948502136697,17.169440167714107,16.13819120665556,16.350763766404114,16.65298552231734,16.801295677163953,16.540119849764686,16.389681735270226,16.001144753231852,15.103008565414832,15.749216109257103,16.35939316836054,16.354602627864338,15.753742257943268,15.883950769992266,15.706068218141048,16.60435433079863,16.030889678645586,16.553063455839734,16.43287929517463,16.1711677053208,16.31344505200973,16.4718379610281,16.4956101549392,16.182369498673037,16.169010641344524,15.777845930550445,16.04605403722955,15.869707898378254,15.608111608387688,15.053739483977086,16.43062485246768,16.235816288574668,15.912591076731136,16.40081423880903,16.52773299848559,15.65230455033781,15.818218476619084,15.448632125621334,15.921718848229165,16.086198183137775,15.859573141792373,15.794113425542882,15.370839621910426
A8MXV4,NUD19_HUMAN,NUDT19,Nucleoside diphosphate-linked moiety X motif 19,16.565649262477027,17.04296460522513,17.147600746584047,17.026218403169338,16.687943560533135,16.9785915431017,16.828109385812688,16.87220239027551,16.67555012076917,17.369115044600576,17.11773258636939,16.913089258231835,16.938033182496792,17.190094316960625,16.842248155326544,17.09078793559442,16.805651772232885,17.57790211139256,17.015074075206325,16.62607405090061,16.89818158407394,17.13596445640253,16.589566676209383,17.12906349606765,17.077675238821655,17.348707719719116,16.935096746247755,17.333148579522618,16.80841970314258,17.247186495198044,16.70951999056768,17.11467179358113,17.231573488182576,16.905204759224667,17.25157942131205,16.982651872648393,17.741033897257342,17.33856677169377,17.11460696545849,17.030405826865618,16.951711869793012,17.28607658850145,17.219561579947843,16.86710890424141,16.879798142609076,17.18784442267464,16.804966705827745,17.24419810339885,17.96386923738621,17.349184834580058,17.38539311029686,17.13510823369646,17.027946343651823,17.14550794731096,16.997223881184073,17.705103052403782,17.66690039820233,18.03153129272926,17.166663933049783,17.47118060622016,16.714397399306225,17.497469359413145
E9PAV3,NACAM_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",16.772606074828232,15.871352715895698,16.973442112416553,17.810335269685908,16.438617719745025,17.264257364450092,16.300917034261722,16.202974389277824,16.099384462015003,16.781596853257113,17.293463607286647,16.52643015145708,16.583870025901078,16.764856164157386,16.531413830807512,16.900005185306966,16.175997409058066,16.972218478820373,17.119358062442966,16.70694648637845,17.287551871962517,16.92088023369384,15.809793296966104,16.11265645518734,16.946053917136474,16.767227123870445,17.221225587593572,16.52900963591494,16.837734318027614,16.799457415755256,16.206807141710218,16.846280293620538,16.748415318769766,16.79759203145684,16.453575700958865,16.569077002059494,16.667416207756546,17.280491228036112,17.43791353961639,17.280368087182243,17.34495387471523,17.058227707980333,16.782635231013632,17.675842403885582,17.06174040546297,17.150901240932725,16.827377768097218,16.965308715326398,16.984204113904113,17.37517326567807,16.544319352004283,16.752057468068326,17.103263659799467,17.13672939731628,16.169042793650117,17.72015039028434,17.400010066631015,16.95992241607848,17.375429959912253,18.048994336824897,17.337203680631823,17.760653462082885
L0R6Q1,S35U4_HUMAN,SLC35A4,SLC35A4 upstream open reading frame protein,17.792673282351497,17.691580945087527,16.93532066718941,18.163305231531083,17.531047417990337,17.89042124662268,17.902437439258645,17.269348002167384,17.915871853024473,17.843204269416912,16.31057041584728,18.46141998861372,17.98851118970642,17.440373045111873,17.641714373155363,17.410676038017915,17.966943845854477,17.597247371511017,17.88832448978294,17.783789580646435,17.88438549415569,18.156714453937887,17.33400309408629,17.96931767015829,17.661838717080645,18.02678193913103,18.022469992788817,17.407292225764,18.012412954716467,17.641180042420135,18.061383235975068,18.852559036653545,18.138581483721264,18.621064573820203,18.487225408348117,18.655791309425677,18.49119100626173,18.51594009838992,18.667370243223736,17.49982785194984,18.026259717880208,18.30768965892565,18.617438877271443,18.11404653518539,18.4429467758413,17.78997325646548,18.10601642996421,18.341464439743763,18.182724624400866,18.51054310312669,18.79942456322129,18.617868773432093,18.86659419567548,18.867876847495484,18.523735409306987,17.989964530643636,18.26060074092312,18.093688696764065,18.587368776238705,18.137824083325366,18.125501801012255,17.637261633971153
O00116,ADAS_HUMAN,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",14.638364998862109,15.33394758130808,15.56768845237927,15.26942631806428,15.79804797608588,15.974396539505804,15.006493138530956,15.14778171414574,15.330918720761842,15.787856757304834,14.556643683179502,15.58666584605303,15.73925329155144,15.96163559198964,16.023034956877815,15.133317444035924,15.69639242941078,15.32019578777366,15.991801011527585,15.9012051327301,15.62008377754445,15.860232864479585,15.045726057459651,15.307637236911535,15.72515662486393,15.714948373409973,15.27213798475196,15.156685833666712,15.341309261095011,15.147797074281987,15.426751153689658,14.97860136612412,16.39017558813912,15.391195189374669,15.506908580241118,15.661186484420504,15.720522639504079,14.871563402274887,14.8237479591213,15.357668094248858,15.382588150576332,15.263396693411739,15.324121593229195,15.659672689874416,14.9935511375635,15.53022468999987,15.883183524571235,15.332129591557084,15.23798366077295,15.850473116865652,15.340291647968881,15.679408073250038,15.230524253526031,15.515924737321448,15.03944087020582,15.159063378490949,15.177022616803,15.40709787253356,15.273588213122391,15.44749717330307,15.12230307158705,15.476090228032389
O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,20.788029579430923,21.704393698886737,21.753981401976393,22.39394128990618,20.89491442157773,22.450969691860372,20.41520542392536,21.324424075765698,21.52784611599028,21.469432160144915,20.93352782909691,21.14965913329432,21.73558445888726,21.844536198470887,21.76560600314444,20.863690932836864,22.07585806511401,21.813609104559117,21.40886966360452,21.484639209180052,21.71363314988353,21.549245096064993,21.40766709570235,20.823789577805087,22.05905638368357,21.70333476473861,21.342176848158775,20.829145191055233,21.45354477174233,21.41852866956591,20.89282715050349,20.75996321451739,21.358239541771024,20.70493839577569,20.629980050689223,20.649483346288157,21.137383504036123,21.36921051474633,21.203198808687894,20.57724373741448,20.990277355568505,20.773133915335087,20.31395050232373,21.091180416120835,20.678684250899757,21.00878166875753,20.74310435194284,20.76274546054253,20.738273123160056,21.264377718045754,20.410114583494423,20.818667762610175,21.084947669378664,21.527695245123784,20.711915900326687,20.714214676340735,20.56986027770419,20.667754227494317,20.737873875973467,21.10548784518629,20.87858530204002,20.75641347582596
