pathway,pval,padj,log2err,ES,NES,size,leadingEdge,contrast,database
GOBP_CYTOPLASMIC_TRANSLATION,5.0208676816141656e-20,8.535475058744082e-17,1.1601795718302144,-0.6414888459535454,-2.9049839356389238,116,RPS7;RPS10;RPL24;EIF3C;RPS27A;RPL23A;RPL22;RPS23;RPL38;RPS3A;YBX3;RPL27A;RPL17;EIF3G;RPS19;RPL23;RPL34;RPS27;RPS24;RPL10;RPL35;EEF2;RPL31;EIF2B1;EIF3M;RPS5;RPS25;RPL37A;EIF2S3;RPS20;RPL35A;RPL19;RPS15;RPL30;EIF5;RPL28;RPS3;EIF3D;EIF4A1;RPS21;RPS2;RPS14;RPS17;RPL32;RPLP1;EIF3A;RPL5;RPS12;RPL26;RPL36;RPL6;RPS18;RPL7A;RPLP0;RPS13;RPL29;EIF3J;EIF3I;DRG2;RACK1;EIF3K;RPLP2;RPL18A;RPL11;EIF3L;RPS26;EIF3B;RPS16;RPL13A;EEF1D;AKT2;CSDE1;RPL3;RPL14;RPL13;YBX1;RPS8;RPS4X;RPL4;RPL12;RPSA;RPL10A,Aging,GO:BP
GOBP_TRANSLATION,3.0768635694519096e-16,2.615334034034123e-13,1.0376961554875836,-0.4795425349718775,-2.4107504111050573,245,RPS7;RPS10;RPL24;EEF1G;BZW1;EIF3C;RPS27A;RPL23A;RPL22;NARS1;RPS23;RPL38;RPS3A;CELF1;YBX3;RPL27A;RPL17;NACA;EIF3G;RPS19;CAPRIN1;RPL23;RPL34;RPS27;RPS24;MRPL9;RPL10;RPL35;EEF2;IARS1;RPL31;EIF2B1;EIF3M;RPS5;RPS25;RPL37A;EIF2S3;RBM3;EEF1A2;RPS20;RPL35A;PPP1CA;RPL36AL;RPL19;MRPL22;RPS15;EEFSEC;RPL30;EIF5;RPL28;RPS3;EIF3D;EIF4A1;RPS21;RPS2;RPS14;EIF4E;DDX3X;RPS17;RPL32;EIF2A;RPLP1;EIF3A;RPL5;RPS12;EEF1A1;RPL26;RPL36;RPL6;MRPL1;RPS18;MRPS21;RPL7A;RARS1;GAPDH;YARS1;MRPL13;RPLP0;RPS13;HBS1L;RPL29;PURA;EIF3J;EIF3I;DRG2;RACK1;EIF3K;LARS1;RPLP2;DDRGK1;RPL18A;RPL11;EIF3L;C1QBP;RPS26;MRPL36;EIF3B;FXR1;RPS16;RPL13A;EEF1D;AKT2;CSDE1;RPL3;RPL14;RPL13;YBX1;HSPB1;RPS8;PA2G4;RPS4X;PELO;RPL4;RPL12;EIF2S1;RPSA;RPL10A;SERBP1;AARSD1;GSPT1;GCN1;SARNP;DENR,Aging,GO:BP
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,1.7909523690973014e-14,1.0148730091551373e-11,0.9759946830643197,0.6341527175984119,2.7348549851511135,86,HMGCL;HADHA;DCXR;ACADM;HADHB;ALDH5A1;ECHS1;ACAT1;CRAT;ALDH6A1;ETFB;ETFA;MPST;HADH;ALDH4A1;ECI1;MCCC1;CPT2;PCCB;TST;ACAA2;ECH1;FAH;PCCA;IVD;ACAD8;ACADS;GPT2;ACADSB;MCEE;ADIPOQ;ACADVL;ECI2;DBT;RIDA;MLYCD;NAGK;HIBADH;GCDH;PLIN5;SLC16A1;CPT1B;GPT;GOT2;GLUL;ACAA1;BCAT2,Aging,GO:BP
GOBP_ORGANIC_ACID_METABOLIC_PROCESS,5.494915847042202e-13,2.335339234992936e-10,0.9214260034948982,0.44295676802378736,2.2407658324166992,254,HMGCL;HADHA;DCXR;ACADM;HADHB;ALDH5A1;ECHS1;IDH2;ACAT1;CRAT;ALDH6A1;ETFB;ETFA;MPST;HADH;ALDH4A1;ECI1;MCCC1;DDAH2;CPT2;PCCB;TST;ACAA2;ECH1;ACO2;FAH;ASAH1;GALK1;GSTO1;FH;PCCA;IVD;ACAD8;CBR4;C3;ACOT9;ACADS;GPT2;ACADSB;MCEE;ADIPOQ;ACADVL;VDAC1;FN3K;MDH1;SDHA;GAMT;ECI2;DBT;ACSF2;RIDA;MLYCD;NAGK;BPNT1;SLC27A1;ACSS2;HIBADH;GCDH;CS;HAGH;ADSS1;PLIN5;SLC16A1;SUCLA2;CPT1B;SDHB;FABP3;FAHD2A;ACSL1;GPT;MECR;STAT5B;GOT2;L2HGDH;ECHDC3;GLUL;APOC2;ADH1B;ACAA1;BCAT2;LDHB;THAP4;MDH2;PPP2CA;HSD17B8;GSTP1;FABP5;MMUT;ACOT2;CES2;SULT1A1;ADHFE1;AKR1A1;ECHDC2;GLUD1;HIBCH;GOT1;PTGES3;IDH3G;PANK4;DECR1;FAHD1;IDH3B;ASS1;BCL2L13;MTCH2;ACO1;AKR1B1;TIGAR;CD36;GAPDHS;HSD17B12;SHMT1;PGD,Aging,GO:BP
GOBP_MUSCLE_CELL_DEVELOPMENT,3.787018255023214e-12,1.2875862067078929e-9,0.8870749883998732,-0.6230633605361731,-2.610716205857134,75,OBSCN;SYNPO2L;PLEC;TTN;LMOD2;NEB;MYOM2;MYOM3;MYBPH;MYOM1;FLNC;PDLIM5;ACTN4;KLHL40;TPM1;ACTN1;ACTN2;NRAP;CAPN3;ACTN3;TNNT3;MYOZ1;NACA;UCHL1;TMOD4;ALPK3;MYH3;MYBPC2;CSRP1;SYPL2;TCAP;CACNA1S;LMNA;WDR1;LMOD3;ACTA1;CSRP3;STAC3;TMOD1;CASQ1;KLHL41;MYPN;TNNT1,Aging,GO:BP
GOBP_LIPID_METABOLIC_PROCESS,5.281356007394988e-12,1.4237396411628184e-9,0.8870749883998732,0.4571533581421162,2.2649062235054127,215,IDI1;HMGCL;HADHA;PSAP;AKR7A2;ACADM;HADHB;ECHS1;ACAT1;CRAT;ETFB;ETFA;HADH;ECI1;PRDX6;CPT2;PCCB;ACAA2;ECH1;FAH;ASAH1;CYB5R1;PCCA;IVD;ABHD11;SH3GLB1;ACAD8;CBR4;CLU;C3;YWHAH;ACOT9;ACADS;LSS;ACADSB;MCEE;CDS2;ADIPOQ;ACADVL;ECI2;PTPN11;ACSF2;RIDA;MLYCD;SERPINA3;BPNT1;SLC27A1;FECH;ACSS2;CYB5R3;GCDH;PLIN5;SLC16A1;NPC2;CPT1B;FABP3;ACSL1;PHB2;ABHD16A;MECR;STAT5B;ECHDC3;APOC2;ADH1B;AGT;ACAA1;BCAT2;H6PD;TTR;HSD17B8;TMX1;GSTP1;FABP5;SCARB2;MMUT;ACOT2;CES2;SULT1A1;ADHFE1;AKR1A1;ECHDC2,Aging,GO:BP
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,5.862457345964546e-12,1.4237396411628184e-9,0.8870749883998732,-0.5482499129876417,-2.479708615911602,114,OBSCN;SYNPO2L;PLEC;TTN;SQSTM1;LMOD2;NEB;MYOM2;MYOM3;RPL24;MYBPH;MYOM1;FLNC;RPS23;RPL38;TPM1;ACTN2;KPNB1;NRAP;CAPN3;FLNA;TNNT3;MYOZ1;RPS19;CAPRIN1;RPS27;MAPT;TMOD4;MSN;RPS5;MYH3;EZR;MYBPC2;RPS15;CSRP1;EIF5;RPS3;DYNC1H1;RPS14;TCAP;DDX3X;EIF2A;WDR1;LMOD3;RPL5;ACTA1;MAPRE1;CSRP3;TMOD1;CASQ1;KLHL41;UBAP2L;MYPN;TNNT1;MAPRE3;RPL11;C1QBP,Aging,GO:BP
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,1.9336500822408375e-11,4.10900642476178e-9,0.8634153916066928,0.5234748617387801,2.406669318958786,126,HMGCL;HADHA;DCXR;ACADM;HADHB;ALDH5A1;ECHS1;ACAT1;CRAT;ALDH6A1;ETFB;ETFA;MPST;HADH;ALDH4A1;ECI1;MCCC1;CPT2;PCCB;TST;ACAA2;ECH1;FAH;GALK1;PCCA;IVD;ACAD8;ALDH2;ACADS;GPT2;ACADSB;MCEE;ADIPOQ;ACADVL;ECI2;DBT;RIDA;MLYCD;NAGK;ACSS2;HIBADH;NUDT3;GCDH;HAGH;PLIN5;SLC16A1;CPT1B;GSK3A,Aging,GO:BP
GOBP_FATTY_ACID_CATABOLIC_PROCESS,3.433984551323545e-11,6.4864152636111405e-9,0.851339057116899,0.7481020808967892,2.720961099509294,37,HADHA;ACADM;HADHB;ECHS1;ACAT1;CRAT;ETFB;ETFA;HADH;ECI1;CPT2;PCCB;ACAA2;ECH1;PCCA;IVD;ACADS;MCEE;ADIPOQ;ACADVL;ECI2;MLYCD;GCDH;PLIN5;CPT1B,Aging,GO:BP
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,7.88245017265649e-11,1.2181968448650938e-8,0.8390889356212738,0.6978178534574146,2.662879603071982,46,HADHA;DCXR;ACADM;HADHB;ECHS1;ACAT1;CRAT;ETFB;ETFA;HADH;ECI1;CPT2;PCCB;ACAA2;ECH1;FAH;PCCA;IVD;ACADS;MCEE;ADIPOQ;ACADVL;ECI2;MLYCD;GCDH;PLIN5;SLC16A1;CPT1B,Aging,GO:BP
