pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
GOBP_CYTOPLASMIC_TRANSLATION,7.399756271886075e-17,-2.9019313716677297,116,RPS7;RPS10;RPL24;EIF3C;RPS27A;RPL23A;RPL22;RPS23;RPL38;RPS3A;YBX3;RPL27A;RPL17;EIF3G;RPS19;RPL23;RPL34;RPS27;RPS24;RPL10;RPL35;EEF2;RPL31;EIF2B1;EIF3M;RPS5;RPS25;RPL37A;EIF2S3;RPS20;RPL35A;RPL19;RPS15;RPL30;EIF5;RPL28;RPS3;EIF3D;EIF4A1;RPS21;RPS2;RPS14;RPS17;RPL32;RPLP1;EIF3A;RPL5;RPS12;RPL26;RPL36;RPL6;RPS18;RPL7A;RPLP0;RPS13;RPL29;EIF3J;EIF3I;DRG2;RACK1;EIF3K;RPLP2;RPL18A;RPL11;EIF3L;RPS26;EIF3B;RPS16;RPL13A;EEF1D;AKT2;CSDE1;RPL3;RPL14;RPL13;YBX1;RPS8;RPS4X;RPL4;RPL12;RPSA;RPL10A,GO:BP,4.952982779040211e-20,-0.6414888459535454,1.1601795718302144,Aging
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,9.431701765600828e-12,2.7463741457119646,86,HMGCL;HADHA;DCXR;ACADM;HADHB;ALDH5A1;ECHS1;ACAT1;CRAT;ALDH6A1;ETFB;ETFA;MPST;HADH;ALDH4A1;ECI1;MCCC1;CPT2;PCCB;TST;ACAA2;ECH1;FAH;PCCA;IVD;ACAD8;ACADS;GPT2;ACADSB;MCEE;ADIPOQ;ACADVL;ECI2;DBT;RIDA;MLYCD;NAGK;HIBADH;GCDH;PLIN5;SLC16A1;CPT1B;GPT;GOT2;GLUL;ACAA1;BCAT2,GO:BP,1.2626106781259474e-14,0.6341527175984119,0.986546283587582,Aging
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,5.1751591856130034e-9,-2.4735165198416125,114,OBSCN;SYNPO2L;PLEC;TTN;SQSTM1;LMOD2;NEB;MYOM2;MYOM3;RPL24;MYBPH;MYOM1;FLNC;RPS23;RPL38;TPM1;ACTN2;KPNB1;NRAP;CAPN3;FLNA;TNNT3;MYOZ1;RPS19;CAPRIN1;RPS27;MAPT;TMOD4;MSN;RPS5;MYH3;EZR;MYBPC2;RPS15;CSRP1;EIF5;RPS3;DYNC1H1;RPS14;TCAP;DDX3X;EIF2A;WDR1;LMOD3;RPL5;ACTA1;MAPRE1;CSRP3;TMOD1;CASQ1;KLHL41;UBAP2L;MYPN;TNNT1;MAPRE3;RPL11;C1QBP,GO:BP,1.0894055227846008e-11,-0.5482499129876417,0.8753251320246591,Aging
GOBP_MUSCLE_CELL_DEVELOPMENT,5.1751591856130034e-9,-2.6013112470037267,75,OBSCN;SYNPO2L;PLEC;TTN;LMOD2;NEB;MYOM2;MYOM3;MYBPH;MYOM1;FLNC;PDLIM5;ACTN4;KLHL40;TPM1;ACTN1;ACTN2;NRAP;CAPN3;ACTN3;TNNT3;MYOZ1;NACA;UCHL1;TMOD4;ALPK3;MYH3;MYBPC2;CSRP1;SYPL2;TCAP;CACNA1S;LMNA;WDR1;LMOD3;ACTA1;CSRP3;STAC3;TMOD1;CASQ1;KLHL41;MYPN;TNNT1,GO:BP,1.3855847886514064e-11,-0.6230633605361731,0.8753251320246591,Aging
GOBP_FATTY_ACID_CATABOLIC_PROCESS,7.67013717210567e-9,2.73108509617123,37,HADHA;ACADM;HADHB;ECHS1;ACAT1;CRAT;ETFB;ETFA;HADH;ECI1;CPT2;PCCB;ACAA2;ECH1;PCCA;IVD;ACADS;MCEE;ADIPOQ;ACADVL;ECI2;MLYCD;GCDH;PLIN5;CPT1B,GO:BP,2.6957468039043693e-11,0.7481020808967892,0.8634153916066928,Aging
GOBP_LIPID_CATABOLIC_PROCESS,8.538153823871639e-8,2.5236647387972813,60,HADHA;ACADM;HADHB;ECHS1;ACAT1;CRAT;ETFB;ETFA;HADH;ECI1;PRDX6;CPT2;PCCB;ACAA2;ECH1;ASAH1;PCCA;IVD;YWHAH;ACADS;MCEE;ADIPOQ;ACADVL;ECI2;MLYCD;GCDH;PLIN5;CPT1B;ABHD16A;APOC2;ACAA1,GO:BP,6.248408898373467e-10,0.6256633489852181,0.8012155746177786,Aging
GOBP_MYOFIBRIL_ASSEMBLY,8.538153823871639e-8,-2.580765506914776,43,OBSCN;SYNPO2L;PLEC;TTN;LMOD2;NEB;MYOM2;MYOM3;MYBPH;MYOM1;FLNC;TPM1;ACTN2;NRAP;CAPN3;TNNT3;MYOZ1;TMOD4;MYH3;MYBPC2;CSRP1;TCAP;WDR1;LMOD3;ACTA1;CSRP3;TMOD1;CASQ1;KLHL41;MYPN;TNNT1,GO:BP,6.286458638727443e-10,-0.6922692384917852,0.8012155746177786,Aging
GOBP_FATTY_ACID_METABOLIC_PROCESS,9.343154148961185e-8,2.395603782259473,104,HADHA;ACADM;HADHB;ECHS1;ACAT1;CRAT;ETFB;ETFA;HADH;ECI1;CPT2;PCCB;ACAA2;ECH1;ASAH1;PCCA;IVD;CBR4;C3;ACOT9;ACADS;ACADSB;MCEE;ADIPOQ;ACADVL;ECI2;ACSF2;MLYCD;SLC27A1;ACSS2;GCDH;PLIN5;CPT1B;FABP3;ACSL1;MECR;ECHDC3;APOC2;ACAA1;HSD17B8;GSTP1;FABP5;MMUT;ACOT2;CES2;ECHDC2,GO:BP,7.504541485109383e-10,0.536058394458021,0.8012155746177786,Aging
GOBP_LIPID_MODIFICATION,1.2463163504831569e-7,2.6279446469915357,41,HADHA;ACADM;HADHB;ECHS1;ACAT1;CRAT;ETFB;ETFA;HADH;ECI1;CPT2;ACAA2;ECH1;IVD;ACADS;ADIPOQ;ACADVL;ECI2;MLYCD;GCDH;PLIN5;CPT1B;FABP3,GO:BP,1.0844787520937775e-9,0.7059149524212357,0.7881868108002371,Aging
GOBP_MUSCLE_CELL_DIFFERENTIATION,2.558864485642592e-7,-2.329014863051992,102,OBSCN;SYNPO2L;PLEC;TTN;LMOD2;NEB;SPEG;MYOM2;MYOM3;MYBPH;MYOM1;FLNC;PDLIM5;ACTN4;KLHL40;SPAG9;TPM1;ACTN1;ACTN2;NRAP;CAPN3;ACTN3;TNNT3;MYOZ1;NACA;UCHL1;TMOD4;ALPK3;MYH3;MYBPC2;CSRP1;SYPL2;TCAP;CACNA1S;LMNA;WDR1;LMOD3;ACTA1;CSRP3;STAC3;LAMA2;TMOD1;CASQ1;KLHL41;MYPN;H3-3A;TNNT1;CD81;RYR1,GO:BP,2.7404171198314242e-9,-0.5249858677356634,0.7749390301364363,Aging
