uniprot_id,gene,contrast,flag
A0A0U1RRL7,MMP24OS,Training_Young,never_sig
A0FGR8,ESYT2,Training_Young,never_sig
A1L0T0,ILVBL,Training_Young,never_sig
A1L4K1,FSD2,Training_Young,never_sig
A2RTX5,TARS3,Training_Young,never_sig
A3KMH1,VWA8,Training_Young,never_sig
A5YM72,CARNS1,Training_Young,robust
A6NCE7,MAP1LC3B2,Training_Young,never_sig
A6NDG6,PGP,Training_Young,never_sig
A6NNS2,DHRS7C,Training_Young,never_sig
A8MU46,SMTNL1,Training_Young,never_sig
A8MXV4,NUDT19,Training_Young,never_sig
E9PAV3,NACA,Training_Young,robust
L0R6Q1,SLC35A4,Training_Young,never_sig
O00151,PDLIM1,Training_Young,never_sig
O00159,MYO1C,Training_Young,never_sig
O00168,FXYD1,Training_Young,never_sig
O00186,STXBP3,Training_Young,never_sig
O00217,NDUFS8,Training_Young,imputation_dependent
O00231,PSMD11,Training_Young,robust
O00232,PSMD12,Training_Young,never_sig
O00233,PSMD9,Training_Young,never_sig
O00264,PGRMC1,Training_Young,never_sig
O00299,CLIC1,Training_Young,never_sig
O00303,EIF3F,Training_Young,never_sig
O00330,PDHX,Training_Young,never_sig
O00399,DCTN6,Training_Young,never_sig
O00410,IPO5,Training_Young,never_sig
O00418,EEF2K,Training_Young,never_sig
O00423,EML1,Training_Young,never_sig
O00429,DNM1L,Training_Young,never_sig
O00442,RTCA,Training_Young,never_sig
O00483,NDUFA4,Training_Young,never_sig
O00487,PSMD14,Training_Young,never_sig
O00499,BIN1,Training_Young,robust
O00505,KPNA3,Training_Young,never_sig
O00571,DDX3X,Training_Young,never_sig
O00629,KPNA4,Training_Young,never_sig
O00748,CES2,Training_Young,never_sig
O00757,FBP2,Training_Young,never_sig
O00764,PDXK,Training_Young,never_sig
O14521,SDHD,Training_Young,never_sig
O14548,COX7A2L,Training_Young,never_sig
O14556,GAPDHS,Training_Young,never_sig
O14558,HSPB6,Training_Young,robust
O14561,NDUFAB1,Training_Young,imputation_dependent
O14732,IMPA2,Training_Young,never_sig
O14737,PDCD5,Training_Young,never_sig
O14744,PRMT5,Training_Young,never_sig
O14818,PSMA7,Training_Young,never_sig
O14841,OPLAH,Training_Young,never_sig
O14880,MGST3,Training_Young,robust
O14924,RGS12,Training_Young,never_sig
O14929,HAT1,Training_Young,never_sig
O14949,UQCRQ,Training_Young,never_sig
